year,month,songid,week_position
1958,12,Green Chri$tma$Stan Freberg,44.0
1958,12,Jingle Bell RockBobby Helms,46.0
1958,12,Run Rudolph RunChuck Berry,75.0
1958,12,White ChristmasBing Crosby,76.0
1959,1,Green Chri$tma$Stan Freberg,53.0
1959,1,Jingle Bell RockBobby Helms,57.5
1959,12,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,66.0
1959,12,"The Happy ReindeerDancer, Prancer And Nervous",68.25
1959,12,This Time Of The YearBrook Benton,86.5
1959,12,White ChristmasBing Crosby,59.0
1960,1,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,61.5
1960,1,"The Happy ReindeerDancer, Prancer And Nervous",69.0
1960,1,This Time Of The YearBrook Benton,70.33333333333333
1960,12,Blue ChristmasThe Browns Featuring Jim Edward Brown,97.0
1960,12,Child Of GodBobby Darin,95.0
1960,12,Christmas Auld Lang SyneBobby Darin,66.0
1960,12,Jingle Bell RockBobby Helms,50.333333333333336
1960,12,Rockin' Around The Christmas TreeBrenda Lee,30.5
1960,12,Silent NightBing Crosby,59.0
1960,12,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,57.0
1960,12,The Christmas Song (Merry Christmas To You)Nat King Cole,90.0
1960,12,Twistin' BellsSanto & Johnny,62.666666666666664
1960,12,White ChristmasBing Crosby,37.666666666666664
1960,12,White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney,96.0
1961,11,Little Altar BoyVic Dana,99.0
1961,12,Baby's First ChristmasConnie Francis,49.0
1961,12,Jingle Bell RockBobby Helms,54.0
1961,12,Jingle Bell RockBobby Rydell/Chubby Checker,41.0
1961,12,Little Altar BoyVic Dana,55.8
1961,12,Please Come Home For ChristmasCharles Brown,80.5
1961,12,Rockin' Around The Christmas TreeBrenda Lee,69.25
1961,12,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,49.666666666666664
1961,12,White ChristmasBing Crosby,32.75
1962,1,Baby's First ChristmasConnie Francis,48.5
1962,1,Jingle Bell RockBobby Helms,41.0
1962,1,Jingle Bell RockBobby Rydell/Chubby Checker,22.0
1962,1,Little Altar BoyVic Dana,48.0
1962,1,Please Come Home For ChristmasCharles Brown,76.0
